"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX","HRZB00ICBEX6","2015-11-25",1677.63,1690.94,1677.23,1690.44,0.88,566116.84
"XZAG","CBX","HRZB00ICBEX6","2015-11-24",1686.60,1686.99,1674.05,1675.63,-0.65,377788.99
"XZAG","CBX","HRZB00ICBEX6","2015-11-23",1693.97,1694.04,1683.78,1686.61,-0.42,615685.60
"XZAG","CBX","HRZB00ICBEX6","2015-11-20",1694.76,1697.14,1686.12,1693.68,-0.08,367678.01
"XZAG","CBX","HRZB00ICBEX6","2015-11-19",1693.34,1697.64,1692.29,1695.03,0.10,451515.84
"XZAG","CBX","HRZB00ICBEX6","2015-11-18",1693.78,1696.64,1693.12,1693.34,0.05,1153935.21
"XZAG","CBX","HRZB00ICBEX6","2015-11-17",1689.49,1693.69,1686.50,1692.41,0.14,666646.63
"XZAG","CBX","HRZB00ICBEX6","2015-11-16",1699.65,1699.65,1683.52,1690.09,-0.54,971870.24
"XZAG","CBX","HRZB00ICBEX6","2015-11-13",1704.83,1704.83,1694.67,1699.25,-0.26,301971.49
"XZAG","CBX","HRZB00ICBEX6","2015-11-12",1707.55,1707.55,1694.92,1703.76,-0.22,1029280.75
"XZAG","CBX","HRZB00ICBEX6","2015-11-11",1709.98,1711.13,1704.51,1707.49,-0.14,396096.10
"XZAG","CBX","HRZB00ICBEX6","2015-11-10",1717.55,1717.56,1706.58,1709.90,-0.53,429106.01
"XZAG","CBX","HRZB00ICBEX6","2015-11-09",1714.70,1720.54,1712.49,1718.97,0.25,759674.30
"XZAG","CBX","HRZB00ICBEX6","2015-11-06",1711.48,1715.08,1708.19,1714.70,0.12,499930.91
"XZAG","CBX","HRZB00ICBEX6","2015-11-05",1721.33,1721.33,1709.28,1712.67,-0.42,491483.30
"XZAG","CBX","HRZB00ICBEX6","2015-11-04",1723.75,1723.75,1714.58,1719.89,-0.32,633203.23
"XZAG","CBX","HRZB00ICBEX6","2015-11-03",1723.56,1729.60,1721.80,1725.36,0.11,548450.26
"XZAG","CBX","HRZB00ICBEX6","2015-11-02",1725.10,1727.96,1710.41,1723.48,-0.09,699975.00
"XZAG","CBX","HRZB00ICBEX6","2015-10-30",1718.60,1728.38,1713.45,1725.10,0.38,1648729.58
"XZAG","CBX","HRZB00ICBEX6","2015-10-29",1718.79,1724.24,1716.99,1718.51,-0.10,1019170.63
"XZAG","CBX","HRZB00ICBEX6","2015-10-28",1716.32,1720.42,1705.17,1720.16,0.22,760558.02
"XZAG","CBX","HRZB00ICBEX6","2015-10-27",1723.91,1731.67,1713.37,1716.36,-0.56,1577813.45
"XZAG","CBX","HRZB00ICBEX6","2015-10-26",1720.78,1731.34,1719.76,1726.05,0.32,888517.99
"XZAG","CBX","HRZB00ICBEX6","2015-10-23",1717.01,1722.90,1715.83,1720.51,0.21,720748.49
"XZAG","CBX","HRZB00ICBEX6","2015-10-22",1715.51,1720.00,1714.35,1716.88,0.16,737408.16
"XZAG","CBX","HRZB00ICBEX6","2015-10-21",1696.83,1714.22,1693.84,1714.21,1.04,1137278.38
"XZAG","CBX","HRZB00ICBEX6","2015-10-20",1689.81,1701.33,1689.81,1696.57,0.38,1218896.25
"XZAG","CBX","HRZB00ICBEX6","2015-10-19",1688.21,1698.85,1683.34,1690.15,0.16,269444.39
"XZAG","CBX","HRZB00ICBEX6","2015-10-16",1682.82,1697.06,1682.82,1687.43,0.27,412355.70
"XZAG","CBX","HRZB00ICBEX6","2015-10-15",1688.06,1688.06,1678.64,1682.82,-0.26,968064.87
"XZAG","CBX","HRZB00ICBEX6","2015-10-14",1689.58,1690.98,1682.69,1687.13,-0.17,959994.52
"XZAG","CBX","HRZB00ICBEX6","2015-10-13",1706.71,1706.71,1685.78,1689.98,-0.98,2063766.15
"XZAG","CBX","HRZB00ICBEX6","2015-10-12",1693.12,1708.60,1692.56,1706.68,0.80,999586.51
"XZAG","CBX","HRZB00ICBEX6","2015-10-09",1697.62,1697.62,1684.55,1693.07,-0.25,1835525.65
"XZAG","CBX","HRZB00ICBEX6","2015-10-07",1694.33,1705.47,1692.88,1697.25,0.14,1188825.90
"XZAG","CBX","HRZB00ICBEX6","2015-10-06",1707.41,1707.41,1687.31,1694.87,-0.81,1345051.95
"XZAG","CBX","HRZB00ICBEX6","2015-10-05",1700.59,1708.80,1699.29,1708.72,0.52,414836.08
"XZAG","CBX","HRZB00ICBEX6","2015-10-02",1689.70,1707.62,1689.70,1699.96,0.58,758144.14
"XZAG","CBX","HRZB00ICBEX6","2015-10-01",1687.34,1692.14,1680.17,1690.16,0.27,489211.02
"XZAG","CBX","HRZB00ICBEX6","2015-09-30",1672.22,1685.63,1670.86,1685.63,0.80,931097.20
"XZAG","CBX","HRZB00ICBEX6","2015-09-29",1686.96,1686.96,1669.31,1672.32,-0.91,796516.51
"XZAG","CBX","HRZB00ICBEX6","2015-09-28",1689.27,1689.32,1675.65,1687.61,-0.10,452548.83
"XZAG","CBX","HRZB00ICBEX6","2015-09-25",1693.28,1693.28,1686.70,1689.23,-0.24,402808.86
"XZAG","CBX","HRZB00ICBEX6","2015-09-24",1689.57,1694.18,1680.15,1693.27,0.21,372007.40
"XZAG","CBX","HRZB00ICBEX6","2015-09-23",1690.16,1692.11,1682.32,1689.76,0.03,1163676.81
"XZAG","CBX","HRZB00ICBEX6","2015-09-22",1692.62,1693.99,1688.98,1689.32,-0.20,178013.33
"XZAG","CBX","HRZB00ICBEX6","2015-09-21",1700.05,1700.05,1688.35,1692.67,-1.29,419844.98
"XZAG","CBX","HRZB00ICBEX6","2015-09-18",1718.05,1720.76,1709.79,1714.83,-0.14,1814934.98
"XZAG","CBX","HRZB00ICBEX6","2015-09-17",1720.26,1720.26,1711.74,1717.24,-0.12,1399434.67
"XZAG","CBX","HRZB00ICBEX6","2015-09-16",1725.87,1725.87,1716.70,1719.31,-0.40,1901917.45
"XZAG","CBX","HRZB00ICBEX6","2015-09-15",1736.43,1736.73,1723.68,1726.16,-0.61,1626572.91
"XZAG","CBX","HRZB00ICBEX6","2015-09-14",1746.47,1747.24,1736.26,1736.77,-0.50,399565.73
"XZAG","CBX","HRZB00ICBEX6","2015-09-11",1739.43,1747.97,1738.92,1745.42,0.30,408089.47
"XZAG","CBX","HRZB00ICBEX6","2015-09-10",1737.64,1744.12,1734.00,1740.24,0.15,1733348.41
"XZAG","CBX","HRZB00ICBEX6","2015-09-09",1738.41,1743.54,1736.73,1737.62,-0.02,715311.46
"XZAG","CBX","HRZB00ICBEX6","2015-09-08",1733.59,1739.97,1733.34,1737.90,0.24,767175.14
"XZAG","CBX","HRZB00ICBEX6","2015-09-07",1740.44,1742.00,1728.00,1733.71,-0.28,511769.69
"XZAG","CBX","HRZB00ICBEX6","2015-09-04",1739.69,1743.06,1734.89,1738.66,-0.07,247857.23
"XZAG","CBX","HRZB00ICBEX6","2015-09-03",1734.87,1743.91,1734.79,1739.80,0.28,1128681.51
"XZAG","CBX","HRZB00ICBEX6","2015-09-02",1737.07,1741.12,1731.76,1734.87,-0.13,888131.67
"XZAG","CBX","HRZB00ICBEX6","2015-09-01",1739.25,1739.25,1729.83,1737.21,-0.06,1842468.48
"XZAG","CBX","HRZB00ICBEX6","2015-08-31",1750.69,1752.25,1736.20,1738.18,-0.72,673902.75
"XZAG","CBX","HRZB00ICBEX6","2015-08-28",1751.65,1755.26,1744.90,1750.70,0.01,2426168.09
"XZAG","CBX","HRZB00ICBEX6","2015-08-27",1737.66,1751.15,1737.66,1750.49,0.81,2188817.70
"XZAG","CBX","HRZB00ICBEX6","2015-08-26",1739.67,1740.62,1729.72,1736.51,-0.20,899566.78
"XZAG","CBX","HRZB00ICBEX6","2015-08-25",1732.31,1739.97,1720.20,1739.97,0.49,1533058.02
"XZAG","CBX","HRZB00ICBEX6","2015-08-24",1782.96,1782.96,1717.84,1731.51,-2.92,2596708.69
"XZAG","CBX","HRZB00ICBEX6","2015-08-21",1787.46,1787.54,1782.33,1783.55,-0.21,783400.01
"XZAG","CBX","HRZB00ICBEX6","2015-08-20",1788.19,1789.26,1785.42,1787.32,-0.05,606589.66
"XZAG","CBX","HRZB00ICBEX6","2015-08-19",1793.47,1796.53,1785.25,1788.15,-0.30,937887.70
"XZAG","CBX","HRZB00ICBEX6","2015-08-18",1800.18,1800.18,1781.20,1793.46,-0.38,1583637.47
"XZAG","CBX","HRZB00ICBEX6","2015-08-17",1805.54,1806.56,1796.90,1800.23,-0.30,717820.41
"XZAG","CBX","HRZB00ICBEX6","2015-08-14",1804.62,1806.09,1801.74,1805.56,0.04,1411094.36
"XZAG","CBX","HRZB00ICBEX6","2015-08-13",1808.07,1808.87,1800.77,1804.88,-0.18,556774.08
"XZAG","CBX","HRZB00ICBEX6","2015-08-12",1809.47,1810.79,1803.46,1808.07,-0.06,560848.58
"XZAG","CBX","HRZB00ICBEX6","2015-08-11",1807.68,1811.04,1805.84,1809.19,0.08,514831.21
"XZAG","CBX","HRZB00ICBEX6","2015-08-10",1817.49,1817.70,1807.34,1807.81,-0.54,1759409.86
"XZAG","CBX","HRZB00ICBEX6","2015-08-07",1812.84,1819.78,1812.32,1817.70,0.32,767086.22
"XZAG","CBX","HRZB00ICBEX6","2015-08-06",1804.65,1813.27,1802.59,1811.93,0.40,2452873.55
"XZAG","CBX","HRZB00ICBEX6","2015-08-04",1796.53,1807.46,1795.30,1804.64,0.45,890999.40
"XZAG","CBX","HRZB00ICBEX6","2015-08-03",1799.93,1799.93,1787.65,1796.52,-0.11,991863.32
"XZAG","CBX","HRZB00ICBEX6","2015-07-31",1800.91,1800.95,1794.16,1798.44,-0.11,1185484.82
"XZAG","CBX","HRZB00ICBEX6","2015-07-30",1798.34,1805.15,1790.19,1800.47,0.12,916384.44
"XZAG","CBX","HRZB00ICBEX6","2015-07-29",1785.91,1799.21,1785.38,1798.37,0.76,564635.88
"XZAG","CBX","HRZB00ICBEX6","2015-07-28",1784.68,1789.71,1776.59,1784.81,-0.01,628099.20
"XZAG","CBX","HRZB00ICBEX6","2015-07-27",1786.81,1788.45,1780.43,1784.98,-0.10,505349.03
"XZAG","CBX","HRZB00ICBEX6","2015-07-24",1789.59,1791.29,1780.61,1786.70,-0.14,545823.40
"XZAG","CBX","HRZB00ICBEX6","2015-07-23",1786.91,1793.93,1785.00,1789.27,0.10,591159.82
"XZAG","CBX","HRZB00ICBEX6","2015-07-22",1784.10,1787.80,1776.03,1787.46,0.19,500780.16
"XZAG","CBX","HRZB00ICBEX6","2015-07-21",1784.52,1787.66,1779.66,1784.15,-0.03,391885.33
"XZAG","CBX","HRZB00ICBEX6","2015-07-20",1789.50,1789.50,1779.22,1784.75,-0.31,631411.08
"XZAG","CBX","HRZB00ICBEX6","2015-07-17",1770.22,1793.42,1768.86,1790.25,1.10,1136938.62
"XZAG","CBX","HRZB00ICBEX6","2015-07-16",1778.92,1780.71,1767.59,1770.75,-0.50,792205.30
"XZAG","CBX","HRZB00ICBEX6","2015-07-15",1784.82,1787.95,1777.94,1779.68,-0.28,934525.68
"XZAG","CBX","HRZB00ICBEX6","2015-07-14",1764.56,1785.08,1764.06,1784.64,1.29,2070578.82
"XZAG","CBX","HRZB00ICBEX6","2015-07-13",1745.21,1761.97,1745.21,1761.97,1.02,815707.51
"XZAG","CBX","HRZB00ICBEX6","2015-07-10",1746.64,1751.01,1740.02,1744.21,-0.17,623127.14
"XZAG","CBX","HRZB00ICBEX6","2015-07-09",1737.78,1748.29,1732.72,1747.10,0.49,963699.13
"XZAG","CBX","HRZB00ICBEX6","2015-07-08",1736.94,1740.53,1734.52,1738.54,0.08,820882.51
"XZAG","CBX","HRZB00ICBEX6","2015-07-07",1743.51,1746.37,1736.37,1737.18,-0.36,655289.74
"XZAG","CBX","HRZB00ICBEX6","2015-07-06",1746.36,1746.63,1740.33,1743.41,-0.17,729638.19
"XZAG","CBX","HRZB00ICBEX6","2015-07-03",1747.96,1749.91,1741.07,1746.36,-0.12,711619.09
"XZAG","CBX","HRZB00ICBEX6","2015-07-02",1750.16,1752.61,1740.90,1748.42,-0.12,228056.41
"XZAG","CBX","HRZB00ICBEX6","2015-07-01",1737.48,1750.44,1733.82,1750.44,0.74,450039.45
"XZAG","CBX","HRZB00ICBEX6","2015-06-30",1726.36,1737.84,1722.35,1737.55,0.65,937339.67
"XZAG","CBX","HRZB00ICBEX6","2015-06-29",1740.32,1742.59,1720.53,1726.35,-0.95,608967.67
"XZAG","CBX","HRZB00ICBEX6","2015-06-26",1757.27,1757.30,1741.64,1742.89,-0.82,955102.56
"XZAG","CBX","HRZB00ICBEX6","2015-06-24",1757.96,1765.73,1753.00,1757.38,-0.03,967311.14
"XZAG","CBX","HRZB00ICBEX6","2015-06-23",1755.60,1758.83,1748.15,1757.86,0.13,616882.26
"XZAG","CBX","HRZB00ICBEX6","2015-06-19",1756.80,1757.29,1749.85,1755.60,-0.07,581536.89
"XZAG","CBX","HRZB00ICBEX6","2015-06-18",1759.76,1761.37,1755.70,1756.80,-0.16,624829.67
"XZAG","CBX","HRZB00ICBEX6","2015-06-17",1752.24,1759.66,1751.17,1759.66,0.42,1203507.65
"XZAG","CBX","HRZB00ICBEX6","2015-06-16",1754.72,1754.72,1749.23,1752.22,0.00,477764.48
"XZAG","CBX","HRZB00ICBEX6","2015-06-15",1753.16,1758.11,1752.03,1752.28,-0.09,855536.41
"XZAG","CBX","HRZB00ICBEX6","2015-06-12",1754.02,1755.78,1750.45,1753.91,0.00,873668.19
"XZAG","CBX","HRZB00ICBEX6","2015-06-11",1751.67,1754.96,1746.04,1753.91,0.14,684248.03
"XZAG","CBX","HRZB00ICBEX6","2015-06-10",1744.54,1751.40,1741.92,1751.40,0.38,1782394.47
"XZAG","CBX","HRZB00ICBEX6","2015-06-09",1736.77,1747.76,1736.53,1744.80,0.45,786679.93
"XZAG","CBX","HRZB00ICBEX6","2015-06-08",1742.07,1742.07,1733.50,1737.02,-0.29,1019875.02
"XZAG","CBX","HRZB00ICBEX6","2015-06-05",1733.29,1744.58,1733.29,1742.06,0.49,798097.04
"XZAG","CBX","HRZB00ICBEX6","2015-06-03",1743.00,1743.00,1731.86,1733.51,-0.55,939637.97
"XZAG","CBX","HRZB00ICBEX6","2015-06-02",1742.50,1747.62,1740.08,1743.08,-0.18,671059.15
"XZAG","CBX","HRZB00ICBEX6","2015-06-01",1737.24,1752.06,1734.70,1746.19,0.97,2466099.17
"XZAG","CBX","HRZB00ICBEX6","2015-05-29",1729.23,1731.79,1725.26,1729.44,0.01,1860361.78
"XZAG","CBX","HRZB00ICBEX6","2015-05-28",1726.21,1733.09,1724.73,1729.25,0.15,642377.57
"XZAG","CBX","HRZB00ICBEX6","2015-05-27",1723.17,1730.25,1721.11,1726.73,0.23,470729.49
"XZAG","CBX","HRZB00ICBEX6","2015-05-26",1731.93,1736.50,1722.62,1722.81,-0.53,1000001.71
"XZAG","CBX","HRZB00ICBEX6","2015-05-25",1724.27,1734.56,1723.72,1731.91,0.47,582883.87
"XZAG","CBX","HRZB00ICBEX6","2015-05-22",1723.35,1730.72,1718.56,1723.81,0.04,553747.75
"XZAG","CBX","HRZB00ICBEX6","2015-05-21",1721.36,1725.55,1717.21,1723.15,0.10,333211.73
"XZAG","CBX","HRZB00ICBEX6","2015-05-20",1724.46,1729.27,1717.85,1721.41,-0.20,513436.56
"XZAG","CBX","HRZB00ICBEX6","2015-05-19",1723.54,1733.50,1723.54,1724.84,-0.05,866313.15
"XZAG","CBX","HRZB00ICBEX6","2015-05-18",1724.94,1733.43,1724.65,1725.67,0.37,755971.54
"XZAG","CBX","HRZB00ICBEX6","2015-05-15",1718.48,1726.47,1715.64,1719.23,0.15,807229.65
"XZAG","CBX","HRZB00ICBEX6","2015-05-14",1712.94,1718.41,1712.94,1716.58,0.13,544942.53
"XZAG","CBX","HRZB00ICBEX6","2015-05-13",1713.22,1714.88,1707.20,1714.30,0.06,453706.61
"XZAG","CBX","HRZB00ICBEX6","2015-05-12",1717.63,1717.63,1707.31,1713.21,-0.24,702749.07
"XZAG","CBX","HRZB00ICBEX6","2015-05-11",1726.20,1726.20,1716.64,1717.34,-0.49,567472.87
"XZAG","CBX","HRZB00ICBEX6","2015-05-08",1736.95,1736.95,1722.93,1725.83,-0.64,919598.61
"XZAG","CBX","HRZB00ICBEX6","2015-05-07",1742.60,1744.99,1732.64,1736.87,-0.29,1548338.45
"XZAG","CBX","HRZB00ICBEX6","2015-05-06",1754.78,1755.27,1741.88,1741.97,-0.74,649268.33
"XZAG","CBX","HRZB00ICBEX6","2015-05-05",1757.60,1757.97,1751.62,1755.01,-0.14,778958.59
"XZAG","CBX","HRZB00ICBEX6","2015-05-04",1751.82,1757.50,1748.33,1757.48,0.33,617753.75
"XZAG","CBX","HRZB00ICBEX6","2015-04-30",1742.35,1755.08,1739.27,1751.67,0.54,629348.59
"XZAG","CBX","HRZB00ICBEX6","2015-04-29",1742.12,1744.62,1732.60,1742.19,-0.05,1256806.77
"XZAG","CBX","HRZB00ICBEX6","2015-04-28",1729.18,1744.22,1727.32,1743.09,0.67,854619.92
"XZAG","CBX","HRZB00ICBEX6","2015-04-27",1737.82,1738.29,1725.15,1731.42,-0.33,621141.41
"XZAG","CBX","HRZB00ICBEX6","2015-04-24",1742.07,1743.26,1735.47,1737.11,-0.27,798635.18
"XZAG","CBX","HRZB00ICBEX6","2015-04-23",1732.36,1745.07,1731.66,1741.84,0.47,600349.55
"XZAG","CBX","HRZB00ICBEX6","2015-04-22",1732.20,1738.53,1732.20,1733.63,0.02,347884.49
"XZAG","CBX","HRZB00ICBEX6","2015-04-21",1732.91,1743.91,1731.29,1733.24,-0.06,408178.38
"XZAG","CBX","HRZB00ICBEX6","2015-04-20",1736.86,1737.90,1728.59,1734.27,-0.13,372872.33
"XZAG","CBX","HRZB00ICBEX6","2015-04-17",1735.92,1738.37,1729.50,1736.46,0.01,849623.99
"XZAG","CBX","HRZB00ICBEX6","2015-04-16",1745.72,1749.19,1731.15,1736.37,-0.52,559762.88
"XZAG","CBX","HRZB00ICBEX6","2015-04-15",1725.06,1747.13,1722.22,1745.46,1.23,1380953.71
"XZAG","CBX","HRZB00ICBEX6","2015-04-14",1725.55,1740.38,1724.31,1724.31,-0.04,1441201.43
"XZAG","CBX","HRZB00ICBEX6","2015-04-13",1724.83,1728.09,1719.13,1724.99,0.08,580656.86
"XZAG","CBX","HRZB00ICBEX6","2015-04-10",1715.07,1730.75,1713.36,1723.55,0.71,596849.89
"XZAG","CBX","HRZB00ICBEX6","2015-04-09",1709.87,1716.67,1706.41,1711.32,0.09,873191.16
"XZAG","CBX","HRZB00ICBEX6","2015-04-08",1705.31,1711.45,1705.04,1709.83,0.15,706778.69
"XZAG","CBX","HRZB00ICBEX6","2015-04-07",1721.33,1722.85,1704.49,1707.28,-0.83,608180.77
"XZAG","CBX","HRZB00ICBEX6","2015-04-02",1718.21,1723.04,1714.59,1721.49,0.10,975220.67
"XZAG","CBX","HRZB00ICBEX6","2015-04-01",1713.00,1719.82,1704.30,1719.82,0.41,493415.33
"XZAG","CBX","HRZB00ICBEX6","2015-03-31",1712.28,1715.44,1708.26,1712.82,-0.04,725691.13
"XZAG","CBX","HRZB00ICBEX6","2015-03-30",1709.75,1718.26,1708.60,1713.53,0.22,558740.74
"XZAG","CBX","HRZB00ICBEX6","2015-03-27",1710.35,1714.03,1708.71,1709.75,-0.05,349254.63
"XZAG","CBX","HRZB00ICBEX6","2015-03-26",1712.49,1716.40,1709.78,1710.65,-0.11,431851.63
"XZAG","CBX","HRZB00ICBEX6","2015-03-25",1718.93,1722.26,1710.15,1712.60,-0.37,505682.76
"XZAG","CBX","HRZB00ICBEX6","2015-03-24",1730.33,1730.40,1717.22,1718.94,-0.66,380398.23
"XZAG","CBX","HRZB00ICBEX6","2015-03-23",1727.37,1733.47,1718.82,1730.34,0.17,324303.84
"XZAG","CBX","HRZB00ICBEX6","2015-03-20",1736.69,1737.20,1715.88,1727.37,-0.51,1528807.55
"XZAG","CBX","HRZB00ICBEX6","2015-03-19",1740.09,1742.92,1734.23,1736.21,-0.22,853959.10
"XZAG","CBX","HRZB00ICBEX6","2015-03-18",1745.15,1745.20,1737.82,1740.04,-0.30,821311.99
"XZAG","CBX","HRZB00ICBEX6","2015-03-17",1750.97,1751.68,1745.30,1745.30,-0.35,524060.08
"XZAG","CBX","HRZB00ICBEX6","2015-03-16",1749.75,1754.74,1748.82,1751.50,0.10,286355.22
"XZAG","CBX","HRZB00ICBEX6","2015-03-13",1748.05,1755.04,1744.28,1749.74,0.10,284430.61
"XZAG","CBX","HRZB00ICBEX6","2015-03-12",1750.23,1751.78,1744.46,1748.05,-0.14,648026.73
"XZAG","CBX","HRZB00ICBEX6","2015-03-11",1753.13,1754.63,1746.42,1750.54,-0.25,427999.25
"XZAG","CBX","HRZB00ICBEX6","2015-03-10",1758.23,1759.92,1747.91,1754.96,-0.09,378638.67
"XZAG","CBX","HRZB00ICBEX6","2015-03-09",1760.17,1764.46,1754.52,1756.46,-0.27,769630.06
"XZAG","CBX","HRZB00ICBEX6","2015-03-06",1756.82,1761.24,1747.15,1761.17,0.31,1045083.67
"XZAG","CBX","HRZB00ICBEX6","2015-03-05",1746.53,1757.06,1746.53,1755.79,0.63,1457984.70
"XZAG","CBX","HRZB00ICBEX6","2015-03-04",1741.50,1747.86,1740.10,1744.77,0.06,652249.37
"XZAG","CBX","HRZB00ICBEX6","2015-03-03",1744.10,1746.37,1739.68,1743.66,-0.04,1218595.95
"XZAG","CBX","HRZB00ICBEX6","2015-03-02",1745.72,1748.36,1741.80,1744.44,-0.06,414350.09
"XZAG","CBX","HRZB00ICBEX6","2015-02-27",1740.97,1750.96,1740.72,1745.56,0.28,1403069.40
"XZAG","CBX","HRZB00ICBEX6","2015-02-26",1730.54,1746.02,1728.23,1740.74,0.62,658252.42
"XZAG","CBX","HRZB00ICBEX6","2015-02-25",1739.49,1741.84,1729.89,1729.95,-0.52,497662.42
"XZAG","CBX","HRZB00ICBEX6","2015-02-24",1746.30,1749.48,1738.33,1739.04,-0.39,757294.65
"XZAG","CBX","HRZB00ICBEX6","2015-02-23",1754.89,1755.92,1739.53,1745.82,-0.52,707441.74
"XZAG","CBX","HRZB00ICBEX6","2015-02-20",1742.69,1757.16,1738.31,1754.89,0.71,894418.26
"XZAG","CBX","HRZB00ICBEX6","2015-02-19",1742.07,1743.44,1734.60,1742.56,-0.12,735128.86
"XZAG","CBX","HRZB00ICBEX6","2015-02-18",1748.33,1749.66,1742.71,1744.57,-0.19,1340862.78
"XZAG","CBX","HRZB00ICBEX6","2015-02-17",1750.63,1759.84,1744.42,1747.85,-0.19,885583.14
"XZAG","CBX","HRZB00ICBEX6","2015-02-16",1767.23,1774.99,1750.60,1751.21,-0.91,842319.44
"XZAG","CBX","HRZB00ICBEX6","2015-02-13",1761.01,1769.48,1755.00,1767.22,0.40,878899.48
"XZAG","CBX","HRZB00ICBEX6","2015-02-12",1758.46,1760.48,1753.75,1760.15,0.08,627052.83
"XZAG","CBX","HRZB00ICBEX6","2015-02-11",1762.93,1767.68,1756.57,1758.71,-0.16,1332127.45
"XZAG","CBX","HRZB00ICBEX6","2015-02-10",1758.26,1766.52,1756.01,1761.49,0.26,615813.46
"XZAG","CBX","HRZB00ICBEX6","2015-02-09",1765.35,1766.44,1756.68,1756.97,-0.43,1012961.76
"XZAG","CBX","HRZB00ICBEX6","2015-02-06",1759.85,1770.02,1759.40,1764.57,0.36,956232.74
"XZAG","CBX","HRZB00ICBEX6","2015-02-05",1753.87,1762.68,1752.57,1758.30,0.17,887700.15
"XZAG","CBX","HRZB00ICBEX6","2015-02-04",1758.12,1758.14,1747.76,1755.30,-0.14,1195674.67
"XZAG","CBX","HRZB00ICBEX6","2015-02-03",1754.68,1757.79,1751.99,1757.79,0.20,1074634.38
"XZAG","CBX","HRZB00ICBEX6","2015-02-02",1764.75,1767.81,1752.87,1754.21,-0.60,640340.47
"XZAG","CBX","HRZB00ICBEX6","2015-01-30",1763.47,1766.81,1761.32,1764.75,0.04,370748.69
"XZAG","CBX","HRZB00ICBEX6","2015-01-29",1772.09,1772.31,1760.22,1764.11,-0.44,971755.40
"XZAG","CBX","HRZB00ICBEX6","2015-01-28",1771.43,1779.86,1765.90,1771.89,0.02,913243.38
"XZAG","CBX","HRZB00ICBEX6","2015-01-27",1779.09,1781.69,1770.82,1771.60,-0.41,850423.69
"XZAG","CBX","HRZB00ICBEX6","2015-01-26",1780.69,1780.69,1774.44,1778.90,-0.10,213841.22
"XZAG","CBX","HRZB00ICBEX6","2015-01-23",1790.74,1790.74,1778.68,1780.67,-0.56,551696.62
"XZAG","CBX","HRZB00ICBEX6","2015-01-22",1808.25,1808.25,1789.08,1790.76,-0.95,396286.46
"XZAG","CBX","HRZB00ICBEX6","2015-01-21",1796.55,1807.90,1784.66,1807.90,0.62,454812.55
